rank,team,w,l,t,gp,win_pct,pf,pa,diff
1,The Pure Breads,8,1,1,10,0.850,145,84,61
2,The Fellowship of the Swing,8,2,0,10,0.800,121,108,13
3,Youre Saying Theres A Chance,7,3,0,10,0.700,150,83,67
4,The Lefty Looseys,7,3,0,10,0.700,130,100,30
5,The Diamonds and Dirtbags,7,3,0,10,0.700,132,125,7
6,The Pliggas,4,5,1,10,0.450,104,111,-7
7,The Slamma Jammas,4,6,0,10,0.400,90,103,-13
8,The Good Guys,4,6,0,10,0.400,104,121,-17
9,The Playas,4,6,0,10,0.400,80,109,-29
10,The Stars and Strikes,3,7,0,10,0.300,88,122,-34
11,The Ellites,2,8,0,10,0.200,97,138,-41
12,The Danites,1,9,0,10,0.100,102,139,-37
