rank,team,w,l,t,gp,win_pct,pf,pa,diff
1,The Pure Breads,9,2,1,12,0.792,175,110,65
2,Youre Saying Theres A Chance,9,3,0,12,0.750,181,106,75
3,The Diamonds and Dirtbags,9,3,0,12,0.750,158,139,19
4,The Fellowship of the Swing,9,3,0,12,0.750,147,133,14
5,The Lefty Looseys,8,4,0,12,0.667,159,127,32
6,The Good Guys,5,7,0,12,0.417,124,141,-17
7,The Slamma Jammas,5,7,0,12,0.417,107,127,-20
8,The Playas,5,7,0,12,0.417,105,135,-30
9,The Pliggas,4,7,1,12,0.375,118,137,-19
10,The Stars and Strikes,4,8,0,12,0.333,112,141,-29
11,The Ellites,3,9,0,12,0.250,118,158,-40
12,The Danites,1,11,0,12,0.083,121,171,-50
