rank,team,w,l,t,gp,win_pct,pf,pa,diff
1,The Diamonds and Dirtbags,14,4,0,18,0.778,245,188,57
2,The Pure Breads,13,4,1,18,0.750,234,175,59
3,Youre Saying Theres A Chance,13,5,0,18,0.722,272,142,130
4,The Lefty Looseys,12,6,0,18,0.667,236,180,56
5,The Fellowship of the Swing,12,6,0,18,0.667,227,196,31
6,The Pliggas,9,8,1,18,0.528,191,180,11
7,The Good Guys,9,9,0,18,0.500,196,194,2
8,The Ellites,7,11,0,18,0.389,200,227,-27
9,The Playas,6,12,0,18,0.333,155,221,-66
10,The Slamma Jammas,5,13,0,18,0.278,147,219,-72
11,The Stars and Strikes,4,14,0,18,0.222,148,246,-98
12,The Danites,3,15,0,18,0.167,186,269,-83
