rank,team,w,l,t,gp,win_pct,pf,pa,diff
1,The Diamonds and Dirtbags,15,5,0,20,0.750,273,217,56
2,The Pure Breads,14,5,1,20,0.725,262,200,62
3,Youre Saying Theres A Chance,14,6,0,20,0.700,292,159,133
4,The Lefty Looseys,14,6,0,20,0.700,279,195,84
5,The Fellowship of the Swing,13,7,0,20,0.650,255,224,31
6,The Pliggas,11,8,1,20,0.575,211,196,15
7,The Good Guys,9,11,0,20,0.450,209,221,-12
8,The Ellites,8,12,0,20,0.400,225,248,-23
9,The Playas,7,13,0,20,0.350,179,238,-59
10,The Slamma Jammas,6,14,0,20,0.300,176,250,-74
11,The Danites,4,16,0,20,0.200,211,301,-90
12,The Stars and Strikes,4,16,0,20,0.200,159,282,-123
